Date	User	Tweet	sentiment
2024-09-24 04:52:00+00:00	user_generated_1116	menolak keras ppkm	2
2024-01-25 15:53:00+00:00	user_generated_1368	ppkm menambah pengangguran	2
2024-04-03 11:25:00+00:00	user_generated_422	ppkm tidak ada gunanya	2
2024-06-21 05:23:00+00:00	user_generated_413	ppkm menyengsarakan pedagang 😢	2
2024-02-06 06:35:00+00:00	user_generated_451	ppkm berdampak buruk	2
2024-12-01 21:20:00+00:00	user_generated_861	sangat tidak mendukung ppkm 😤	2
2024-07-08 20:59:00+00:00	user_generated_1063	ppkm tidak berhasil	2
2024-04-12 09:18:00+00:00	user_generated_741	menolak perpanjangan ppkm sungguh	2
2024-11-27 10:54:00+00:00	user_generated_1272	tidak mendukung aturan ppkm	2
2024-01-21 08:42:00+00:00	user_generated_259	ppkm merugikan rakyat tersebut	2
2024-03-01 08:01:00+00:00	user_generated_888	buruk kebijakan ppkm ini sekarang	2
2024-04-02 01:19:00+00:00	user_generated_1432	ppkm membuat anak tidak bisa sekolah	2
2024-04-15 09:24:00+00:00	user_generated_712	capek dengan kebijakan ppkm sangat	2
2024-08-15 04:52:00+00:00	user_generated_1382	tidak setuju kebijakan ppkm ini	2
2024-01-14 16:18:00+00:00	user_generated_70	ppkm membuat banyak usaha bangkrut	2
2024-08-22 10:05:00+00:00	user_generated_1268	rakyat menderita karena ppkm	2
2024-08-16 16:52:00+00:00	user_generated_1491	saya tidak setuju ppkm sangat	2
2024-05-17 12:39:00+00:00	user_generated_607	sudah lelah dengan ppkm	2
2024-04-19 04:12:00+00:00	user_generated_433	menolak kebijakan ppkm	2
2024-06-29 02:11:00+00:00	user_generated_51	menolak keras ppkm	2
2024-06-05 21:20:00+00:00	user_generated_1199	tidak setuju ppkm terus menerus	2
2024-04-14 09:26:00+00:00	user_generated_1128	sangat menyengsarakan ppkm ini	2
2024-11-20 12:33:00+00:00	user_generated_1190	ppkm hanya menyengsarakan rakyat kecil	2
2024-03-18 19:28:00+00:00	user_generated_1249	ppkm gagal mengatasi pandemi	2
2024-09-11 07:40:00+00:00	user_generated_1419	kasihan rakyat karena ppkm	2
2024-08-16 12:47:00+00:00	user_generated_432	pedagang menderita karena ppkm tersebut	2
2024-08-11 12:51:00+00:00	user_generated_1452	rakyat menderita karena ppkm ini	2
2024-07-15 22:06:00+00:00	user_generated_1470	saya menolak ppkm saat ini	2
2024-03-09 00:52:00+00:00	user_generated_1234	tidak setuju dengan aturan ppkm yang ada	2
2024-04-29 02:24:00+00:00	user_generated_1281	tidak setuju dengan aturan ppkm	2
2024-04-10 04:57:00+00:00	user_generated_1085	ppkm hanya menyengsarakan rakyat kecil	2
2024-10-25 23:04:00+00:00	user_generated_610	ppkm menyengsarakan rakyat	2
2024-12-03 00:21:00+00:00	user_generated_1284	susah sekali karena ppkm	2
2024-01-23 10:50:00+00:00	user_generated_1041	saya tidak setuju dengan kebijakan ppkm ini	2
2024-05-07 00:32:00+00:00	user_generated_220	ppkm gagal mengatasi pandemi	2
2024-04-23 20:30:00+00:00	user_generated_339	kebijakan ppkm sangat merugikan	2
2024-12-31 23:18:00+00:00	user_generated_423	sangat merugikan kebijakan ppkm	2
2024-10-25 05:03:00+00:00	user_generated_428	masyarakat menderita akibat ppkm 😡	2
2024-08-19 01:10:00+00:00	user_generated_1105	ppkm membuat anak tidak bisa sekolah	2
2024-05-03 12:39:00+00:00	user_generated_76	ppkm tidak adil	2
2024-08-12 10:14:00+00:00	user_generated_1391	ppkm membuat usaha tutup	2
2024-08-16 10:15:00+00:00	user_generated_439	tidak mendukung ppkm 😡	2
2024-07-25 16:40:00+00:00	user_generated_1336	ppkm menghilangkan mata pencaharian sekali	2
2024-03-10 17:28:00+00:00	user_generated_864	ppkm membuat anak tidak bisa sekolah	2
2024-06-03 14:50:00+00:00	user_generated_1080	ppkm bikin orang menderita	2
2024-01-18 01:39:00+00:00	user_generated_354	buruk kebijakan ppkm ini 💔	2
2024-01-25 18:01:00+00:00	user_generated_365	ppkm bikin segalanya sulit	2
2024-12-24 02:09:00+00:00	user_generated_309	tidak setuju dengan aturan ppkm banget	2
2024-08-04 20:20:00+00:00	user_generated_736	saya tidak setuju ppkm	2
2024-04-16 00:08:00+00:00	user_generated_998	ppkm bikin orang menderita 😭	2
2024-11-18 19:00:00+00:00	user_generated_621	kebijakan ppkm tidak efektif sama sekali	2
2024-12-11 03:05:00+00:00	user_generated_543	kapan ppkm berakhir sudah lelah sekarang	2
2024-04-06 08:08:00+00:00	user_generated_1140	ppkm bikin segalanya sulit	2
2024-04-13 15:31:00+00:00	user_generated_1296	ppkm merugikan rakyat	2
2024-12-20 09:28:00+00:00	user_generated_554	menolak keras ppkm	2
2024-03-19 23:45:00+00:00	user_generated_679	tidak setuju ppkm diperpanjang 😢	2
2024-08-17 18:29:00+00:00	user_generated_49	ppkm tidak adil	2
2024-04-29 14:08:00+00:00	user_generated_490	ppkm menghilangkan mata pencaharian	2
2024-05-22 01:28:00+00:00	user_generated_316	ppkm bikin ekonomi hancur	2
2024-08-19 02:21:00+00:00	user_generated_904	sangat buruk dampak ppkm banget	2
2024-01-10 15:06:00+00:00	user_generated_636	tidak mendukung aturan ppkm tersebut	2
2024-02-03 03:05:00+00:00	user_generated_560	ppkm bikin ekonomi hancur	2
2024-08-21 22:25:00+00:00	user_generated_486	tidak setuju dengan aturan ppkm banget	2
2024-11-30 17:37:00+00:00	user_generated_67	menolak keras ppkm	2
2024-11-28 13:35:00+00:00	user_generated_811	ppkm membuat anak tidak bisa sekolah saat ini	2
2024-10-19 07:04:00+00:00	user_generated_493	ppkm merugikan ekonomi saat ini	2
2024-03-14 11:50:00+00:00	user_generated_310	kebijakan ppkm sangat tidak adil sekali	2
2024-07-06 07:22:00+00:00	user_generated_1096	sangat merugikan kebijakan ppkm	2
2024-10-29 17:35:00+00:00	user_generated_1247	ppkm bikin usaha bangkrut	2
2024-02-20 10:06:00+00:00	user_generated_184	saya tidak mendukung kebijakan ppkm sungguh	2
2024-01-11 10:37:00+00:00	user_generated_306	pedagang menderita karena ppkm	2
