Date	User	Tweet	sentiment
2024-01-20 14:18:00+00:00	user_generated_1860	kebijakan ppkm sangat tepat	0
2024-12-18 11:19:00+00:00	user_generated_353	ppkm bagus untuk kesehatan	0
2024-05-24 08:01:00+00:00	user_generated_1333	ppkm terbukti efektif	0
2024-03-03 10:46:00+00:00	user_generated_905	ppkm berhasil mengendalikan pandemi	0
2024-10-19 11:04:00+00:00	user_generated_1289	saya mendukung ppkm untuk kebaikan bersama	0
2024-06-07 09:45:00+00:00	user_generated_1273	sangat bagus kebijakan ppkm banget	0
2024-08-29 04:50:00+00:00	user_generated_938	mendukung kebijakan ppkm yang tepat sekarang ✅	0
2024-01-30 18:51:00+00:00	user_generated_1731	sangat efektif kebijakan ppkm ini sekarang	0
2024-10-06 04:47:00+00:00	user_generated_65	saya sangat setuju ppkm dilanjutkan yang ada	0
2024-02-27 05:18:00+00:00	user_generated_1323	ppkm membantu mengatasi pandemi	0
2024-12-17 13:54:00+00:00	user_generated_56	ppkm efektif untuk menekan penyebaran benar-benar	0
2024-05-08 06:02:00+00:00	user_generated_1292	ppkm sangat membantu	0
2024-11-15 18:38:00+00:00	user_generated_1118	ppkm adalah kebijakan yang tepat	0
2024-01-30 20:04:00+00:00	user_generated_584	ppkm melindungi masyarakat	0
2024-07-23 17:53:00+00:00	user_generated_374	senang dengan kebijakan ppkm banget	0
2024-11-07 00:10:00+00:00	user_generated_275	mendukung kebijakan ppkm yang tepat banget	0
2024-02-25 15:10:00+00:00	user_generated_746	ppkm bagus untuk kesehatan	0
2024-11-22 23:24:00+00:00	user_generated_128	saya setuju dengan kebijakan ppkm tersebut	0
2024-12-14 03:37:00+00:00	user_generated_1646	terima kasih kebijakan ppkm yang melindungi banget 👍	0
2024-11-29 05:07:00+00:00	user_generated_1852	sangat membantu kebijakan ppkm 👍	0
2024-08-30 11:20:00+00:00	user_generated_674	senang sekali ppkm berhasil	0
2024-09-15 19:39:00+00:00	user_generated_1664	ppkm membantu melindungi kita	0
2024-12-30 20:36:00+00:00	user_generated_1981	sangat efektif kebijakan ppkm ini 🔥	0
2024-03-18 09:19:00+00:00	user_generated_1083	kebijakan ppkm sangat efektif	0
2024-09-11 01:57:00+00:00	user_generated_1922	setuju dengan aturan ppkm	0
2024-07-06 00:03:00+00:00	user_generated_99	ppkm efektif banget banget	0
2024-05-27 11:28:00+00:00	user_generated_1179	alhamdulillah ppkm berhasil	0
2024-09-14 03:50:00+00:00	user_generated_964	ppkm terbukti efektif sangat	0
2024-01-30 13:06:00+00:00	user_generated_792	alhamdulillah ppkm berhasil sekali	0
2024-02-01 03:34:00+00:00	user_generated_29	saya sangat mendukung ppkm ini yang ada 💯	0
2024-06-07 16:55:00+00:00	user_generated_628	kebijakan ppkm sangat baik	0
2024-03-14 10:46:00+00:00	user_generated_944	saya mendukung kebijakan ppkm	0
2024-10-30 10:16:00+00:00	user_generated_572	saya sangat mendukung ppkm ini	0
2024-12-04 07:05:00+00:00	user_generated_907	saya sangat mendukung ppkm ini	0
2024-09-24 02:07:00+00:00	user_generated_1080	ppkm berhasil menekan kasus sekarang	0
2024-03-17 09:36:00+00:00	user_generated_450	ppkm membuat aman	0
2024-06-19 11:27:00+00:00	user_generated_1609	kebijakan ppkm sangat baik	0
2024-06-15 19:27:00+00:00	user_generated_1290	ppkm adalah solusi terbaik	0
2024-01-19 08:51:00+00:00	user_generated_1078	ppkm terbukti efektif ini	0
2024-11-24 22:54:00+00:00	user_generated_254	ppkm berhasil melindungi warga	0
2024-06-24 13:00:00+00:00	user_generated_124	ppkm solusi yang tepat	0
2024-10-01 12:33:00+00:00	user_generated_1927	ppkm membantu mengatasi pandemi	0
2024-06-09 17:13:00+00:00	user_generated_251	ppkm efektif menurunkan kasus covid	0
2024-03-20 09:42:00+00:00	user_generated_585	ppkm untuk keselamatan bersama	0
2024-09-09 18:57:00+00:00	user_generated_1568	sangat bagus kebijakan ppkm	0
2024-10-09 02:50:00+00:00	user_generated_824	mendukung penuh ppkm ini	0
2024-02-12 07:47:00+00:00	user_generated_507	ppkm sangat membantu banget 💯	0
2024-07-29 07:45:00+00:00	user_generated_889	kebijakan ppkm bagus banget	0
2024-11-15 08:33:00+00:00	user_generated_70	ppkm membantu menekan penyebaran sangat	0
2024-09-21 08:54:00+00:00	user_generated_1608	ppkm efektif untuk menekan penyebaran	0
2024-05-04 22:56:00+00:00	user_generated_1532	senang ppkm melindungi kita	0
2024-05-08 14:11:00+00:00	user_generated_247	terima kasih atas kebijakan ppkm	0
2024-01-22 04:03:00+00:00	user_generated_1450	saya sangat mendukung ppkm ini	0
2024-09-25 14:30:00+00:00	user_generated_212	ppkm membantu mengatasi pandemi	0
2024-06-26 12:02:00+00:00	user_generated_909	ppkm kebijakan yang pas sekali	0
2024-12-08 03:53:00+00:00	user_generated_1741	senang ppkm melindungi kita	0
2024-01-30 22:35:00+00:00	user_generated_1244	kebijakan ppkm sangat baik	0
2024-01-16 03:22:00+00:00	user_generated_1696	tepat sekali kebijakan ppkm ini	0
2024-11-21 02:39:00+00:00	user_generated_1182	ppkm efektif menurunkan kasus covid 🔥	0
2024-07-22 22:30:00+00:00	user_generated_361	kebijakan ppkm berhasil menurunkan angka kasus ini	0
2024-08-18 15:16:00+00:00	user_generated_1473	full support untuk ppkm sekali	0
